,GSM1377859,GSM1377860,GSM1377861,GSM1377862,GSM1377863,GSM1377864,GSM1377865,GSM1377866,GSM1377867,GSM1377868,GSM1377869,GSM1377870,GSM1377871,GSM1377872,GSM1377873,GSM1377874,GSM1377875,GSM1377876,GSM1377877,GSM1377878,GSM1377879,GSM1377880,GSM1377881,GSM1377882,GSM1377883,GSM1377884,GSM1377885,GSM1377886,GSM1377887,GSM1377888,GSM1377889,GSM1377890,GSM1377891,GSM1377892,GSM1377893,GSM1377894,GSM1377895,GSM1377896,GSM1377897,GSM1377898,GSM1377899,GSM1377900,GSM1377901,GSM1377902,GSM1377903,GSM1377904,GSM1377905,GSM1377906,GSM1377907
ENSMUSG00000065259,402.43,207.769,110.93,306.52299999999997,406.12,0.0,1546.89,396.093,0.0,992.8480000000001,862.4730000000001,529.497,0.0,1723.14,1289.11,737.3889999999999,1400.18,648.74,0.0,1101.77,1213.23,205.937,419.905,504.61199999999997,218.481,260.702,435.32099999999997,408.957,1865.7,113.618,242.61700000000002,508.524,1081.25,267.369,1596.89,813.2439999999999,616.87,1289.46,897.7719999999999,639.49,2163.74,801.2560000000001,687.9169999999999,747.345,0.0,872.0269999999999,0.0,739.041,1191.05
ENSMUSG00000065282,0.0,0.0,0.0,0.0,136.96200000000002,0.0,0.0,0.0,0.0,110.561,285.199,367.764,712.7139999999999,808.355,300.084,0.0,364.144,925.919,270.527,1289.82,1936.9,0.0,0.0,197.345,1416.69,105.63799999999999,603.004,818.559,139.138,215.638,459.79400000000004,903.39,185.49,681.071,101.228,709.4019999999999,74.8963,996.1210000000001,1648.34,741.692,184.702,255.887,0.0,1322.19,240.248,201.889,873.471,437.44300000000004,1983.89
ENSMUSG00000077575,86.6788,87.2825,49.0237,0.0,0.0,166.773,275.767,0.0,0.0,1124.2,587.727,281.466,197.285,1479.96,57.6466,373.91,372.01800000000003,570.602,201.326,225.15400000000002,67.8206,133.237,62.5444,0.0,0.0,2088.54,83.3999,201.21,308.553,93.5867,854.8589999999999,282.587,712.2330000000001,72.6049,833.3380000000001,455.30699999999996,632.751,540.785,1359.65,608.862,1106.33,1655.09,336.352,857.313,0.0,980.3610000000001,961.2410000000001,1359.06,1580.39
ENSMUSG00000088604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.99900000000002,0.0,0.0,0.0,555.391,576.717,0.0,811.752,322.289,948.567,558.945,1623.8,674.552,0.0,1331.4,105.583,0.0,0.0,0.0,0.0,1194.54,1886.4,0.0,1983.83
ENSMUSG00000084616,0.0,0.0,0.0,0.0,0.0,1782.63,0.0,1065.86,0.0,825.81,1030.78,395.702,1565.76,0.0,619.803,516.471,0.0,0.0,1417.16,0.0,1389.05,0.0,642.68,760.112,0.0,0.0,400.476,1063.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.87,0.0,0.0
ENSMUSG00000089255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.999,706.421,745.967,1156.05,688.4580000000001,831.503,935.663,425.316,116.831,198.933,329.19300000000004,283.811,302.21299999999997,118.705,101.26100000000001,867.5139999999999,67.1725,78.6872,341.755,469.72,1104.9,467.588,268.902,856.638,869.21,616.955,536.114,1707.82,1151.9,1147.36,1089.36,1467.96,1246.0,1425.58,0.0,1486.67,602.14,1151.93,1412.2
ENSMUSG00000088108,819.0189999999999,986.9680000000001,856.5089999999999,579.6759999999999,926.55,676.289,2842.21,1550.91,495.871,1009.51,1159.9,723.085,306.597,1450.5,891.518,1484.3,925.419,901.387,387.996,533.905,647.81,680.804,112.697,224.084,38.714,143.126,294.472,442.765,1086.15,226.729,232.929,72.0289,593.883,330.93,340.249,350.99,235.23,378.71,443.055,756.8489999999999,323.406,874.434,178.481,570.74,0.0,905.305,907.9019999999999,1376.75,1269.64
ENSMUSG00000088476,1223.19,1011.48,817.9780000000001,1999.15,863.903,1899.63,0.0,410.25,987.21,0.0,0.0,0.0,538.98,0.0,0.0,394.485,794.753,0.0,0.0,747.92,1308.02,0.0,203.077,0.0,0.0,0.0,545.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000089967,1093.47,1822.46,933.1460000000001,805.0089999999999,1498.57,1846.19,235.322,1803.04,1455.88,444.629,205.868,549.945,92.2654,234.692,439.719,207.84599999999998,421.60900000000004,355.415,499.514,370.289,836.1139999999999,620.4159999999999,327.375,1026.45,330.593,538.783,364.86699999999996,877.307,1532.04,1087.11,883.552,948.2810000000001,1672.52,423.94,786.828,860.2589999999999,621.886,1227.87,337.20599999999996,1007.25,547.1569999999999,781.8589999999999,481.93300000000005,138.796,866.934,460.596,680.7610000000001,535.635,1227.26
ENSMUSG00000093044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.907,868.186,838.5060000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.826,344.17400000000004,0.0,1740.43,0.0,0.0,0.0,1678.96,537.4,1757.79,761.697,0.0,823.689,471.414,405.027,341.29,0.0,0.0,0.0,390.32599999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000064884,0.0,0.0,0.0,0.0,0.0,0.0,1672.24,0.0,0.0,0.0,817.633,0.0,0.0,0.0,0.0,411.99300000000005,0.0,970.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.88,0.0,0.0,0.0,0.0,0.0,1660.73,0.0,0.0,696.5160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.193,0.0,0.0,626.4780000000001,1434.28,543.174,0.0
ENSMUSG00000084453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.415,0.0,482.55400000000003,0.0,0.0,0.0,490.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1553.95,508.87300000000005,1638.75,0.0,0.0,1375.6,584.641,494.119,1509.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000065389,0.0,0.0,0.0,0.0,0.0,0.0,564.977,0.0,0.0,502.348,644.211,140.678,255.378,420.745,231.78,432.82800000000003,216.52,206.46099999999998,426.12800000000004,299.817,0.0,0.0,715.8,355.406,893.5369999999999,1191.81,597.234,349.485,0.0,1130.76,442.389,535.201,582.942,320.95,179.08900000000003,169.84900000000002,527.595,396.324,821.3560000000001,327.432,853.189,914.826,1057.91,864.591,954.7,1739.03,648.735,1173.14,1452.95
ENSMUSG00000088651,1.29e-07,4.73e-05,6.09e-38,153.173,1.9199999999999996e-38,366.102,0.0,247.243,5.47e-10,1050.53,446.395,3.74e-25,0.0,1341.47,127.303,687.153,603.104,693.8330000000001,912.663,0.0,0.0,0.739835,193.389,0.0,69.8247,0.0,82.6015,391.759,90.2533,224.18200000000002,0.0,823.2669999999999,791.952,9.96e-13,510.341,905.318,0.0,0.0,1128.13,0.0,1438.05,0.0,0.0,119.311,1174.66,642.604,639.158,676.837,0.0
ENSMUSG00000036305,55.284,41.2175,82.2049,111.271,30.5738,3.8693199999999996,156.796,2.6341799999999997,0.0,218.261,252.543,109.554,139.259,248.975,333.41,148.697,113.04299999999999,328.595,157.81799999999998,40.0775,45.3643,38.2286,171.25400000000002,79.2485,242.917,255.03900000000002,38.1908,133.019,164.574,407.72,332.04400000000004,742.6189999999999,695.5360000000001,974.452,720.8689999999999,1085.03,624.25,988.445,1252.46,1094.84,889.404,1286.73,1152.22,1130.97,633.859,934.6389999999999,701.445,1170.32,983.51
ENSMUSG00000088323,0.0,86.723,0.0,0.0,110.943,160.894,0.0,0.0,0.0,82.0816,722.102,0.0,0.0,0.0,0.0,0.0,0.0,536.347,0.0,110.348,0.0,40.2594,0.0,0.0,0.0,0.0,0.0,316.072,857.628,0.0,494.001,150.678,856.507,770.173,91.23700000000001,952.28,202.995,1123.73,1070.57,623.0419999999999,942.8430000000001,273.177,0.0,0.0,0.0,1229.97,1180.45,900.8430000000001,794.935
ENSMUSG00000077391,239.291,61.5593,31.9392,58.9208,78.9339,0.0,0.0,304.14599999999996,0.0,0.0,111.635,0.0,0.0,259.007,0.0,186.979,37.2751,0.0,47.2428,227.516,177.485,59.8566,122.303,0.0,0.0,0.0,112.719,0.0,138.966,312.79400000000004,134.093,566.5459999999999,106.876,196.368,1037.11,153.058,87.088,492.843,286.629,887.059,900.319,830.683,169.58700000000002,0.0,0.0,1103.22,1171.05,1796.96,1103.75
ENSMUSG00000094462,0.0,216.96,0.0,0.0,0.0,0.0,140.834,0.0,0.0,922.9780000000001,735.0419999999999,301.03700000000003,328.588,295.372,973.206,0.0,0.0,281.54400000000004,314.432,0.0,0.0,186.69400000000002,604.474,0.0,0.0,0.0,515.205,545.59,205.793,1053.79,543.008,0.0,0.0,197.533,1345.57,618.5840000000001,348.095,477.73800000000006,1564.4,0.0,0.0,166.297,0.0,1064.71,159.29399999999998,976.0889999999999,675.95,0.0,542.378
ENSMUSG00000070167,0.0,58.0465,33.0578,0.0,225.55599999999998,0.0,813.7819999999999,0.0,0.0,599.905,745.7239999999999,564.961,657.535,773.664,743.947,839.328,677.3839999999999,860.86,341.43,511.664,270.765,891.388,1304.51,1145.43,1800.05,1239.64,842.883,751.91,524.177,674.155,754.929,448.499,495.337,85.4858,297.035,175.201,575.057,761.6360000000001,487.004,870.8919999999999,583.523,401.056,54.0209,415.04,0.0,632.265,549.928,832.9169999999999,651.863
ENSMUSG00000065360,0.0,0.0,0.0,0.0,0.0,0.0,2078.19,0.0,0.0,0.0,328.805,0.0,0.0,0.0,0.0,0.0,328.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.019,0.0,541.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624.49,0.0,0.0,0.0,0.0
ENSMUSG00000094551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.64,0.0,409.504,482.55400000000003,0.0,0.0,0.0,0.0,1121.27,0.0,0.0,0.0,1517.09,0.0,0.0,0.0,954.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.492
ENSMUSG00000084737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.433,0.0,424.663,0.0,0.0,0.0,0.0,979.0089999999999,0.0,0.0,298.748,0.0,0.0,907.0939999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729.54,0.0,496.57599999999996,932.709,1134.93,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000077221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.284,596.161,1639.07,465.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.56799999999998,0.0,160.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.64,0.0,0.0,0.0,0.0,286.428,0.0,0.0,0.0,0.0,0.0,1227.33,0.0,0.0
ENSMUSG00000077505,162.459,0.0,624.337,168.95,439.86199999999997,321.222,990.508,214.832,0.0,567.9490000000001,1337.58,152.44799999999998,893.1460000000001,564.197,864.919,670.3919999999999,376.776,1345.07,0.0,189.858,113.715,240.959,107.432,0.0,0.0,523.499,222.517,94.2901,177.43,0.0,130.806,421.16,474.60400000000004,436.352,324.415,751.3960000000001,0.0,0.0,0.0,748.336,137.287,257.04900000000004,777.368,0.0,0.0,917.676,461.38,0.0,0.0
ENSMUSG00000064779,0.0,0.0,0.0,0.0,0.0,1338.14,0.0,0.0,0.0,623.188,0.0,0.0,0.0,0.0,1380.46,0.0,0.0,0.0,530.3340000000001,0.0,1550.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000064751,0.0,0.0,1362.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507764,0.0,0.0,1.3900000000000001e-13,0.0,0.0,4.2799999999999984e-213,1268.86,0.190307,0.0,0.0,0.0,9.37e-33,0.0,0.0,0.0,0.0,9.8e-06,0.00130881,1623.89,0.0,4.01e-28,0.0,3.499999999999999e-71,0.0,0.0
ENSMUSG00000085300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.445,214.488,58.4569,0.0,132.97899999999998,345.652,430.62699999999995,318.485,326.39,313.494,639.763,1374.99,819.0160000000001,1139.95,821.206,522.565,1110.21,211.358,368.014,36.5494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000077380,628.922,179.947,613.822,173.174,1259.19,664.49,0.0,0.0,1538.26,270.998,0.0,0.0,0.0,197.27,0.0,0.0,0.0,414.655,294.392,127.36399999999999,0.0,0.0,0.0,0.0,0.0,958.0319999999999,0.0,0.0,0.0,279.85900000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000094405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.436,831.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.175,1744.86,0.0,0.0
ENSMUSG00000064634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.966,681.003,232.963,0.0,755.7919999999999,188.86700000000002,425.459,0.0,0.0,423.51800000000003,79.4166,399.721,106.311,379.835,112.35,0.0,0.0,32.7033,450.774,76.3681,512.1759999999999,419.14599999999996,256.256,283.638,654.555,223.047,557.509,0.0,78.5244,73.7101,1671.33,61.1624,812.418,0.0,600.525,0.0,405.309,150.024,830.415,731.2310000000001
ENSMUSG00000031231,111.28299999999999,300.06,394.923,106.07,304.572,261.67400000000004,880.7,97.3223,74.6808,922.23,872.9889999999999,525.878,529.8290000000001,887.159,753.461,715.317,448.329,897.067,501.735,1272.67,1179.53,729.977,1311.27,1203.99,1053.54,612.5219999999999,638.806,965.203,344.98800000000006,180.271,329.408,627.632,420.153,441.19800000000004,427.551,675.452,861.2139999999999,252.24599999999998,971.765,450.154,744.298,1031.26,882.758,782.675,858.247,319.964,376.87699999999995,357.478,611.286
